timestamp,frame,px,py,pvx,pvy,a_attack,a_dash,a_idle,aim
0.020,0,0.0000,0.0000,0.0000,0.0000,0,0,1,0.8961
0.068,1,0.0000,0.0000,0.0000,0.0000,0,0,1,0.7988
0.101,2,0.0000,0.0000,0.0000,0.0000,0,0,1,0.7915
0.137,3,0.0000,-0.0097,0.0000,-2.4000,0,0,0,0.7915
0.167,4,0.0000,-0.0805,0.0000,-2.4000,0,0,0,0.7841
0.203,5,0.0000,-0.1684,0.0000,-2.4000,0,0,0,0.8092
0.233,6,0.0000,-0.2387,0.0000,-2.4000,0,0,0,0.8780
0.269,7,0.0000,-0.3258,0.0000,-2.4000,0,0,0,0.9330
0.302,8,0.0000,-0.4039,0.0000,-2.4000,0,0,0,1.0499
0.333,9,0.0000,-0.4801,0.0000,-2.4000,0,0,0,1.1993
0.367,10,0.0000,-0.5597,0.0000,-2.4000,0,0,0,1.3134
0.402,11,0.0000,-0.6444,0.0000,-2.4000,0,0,0,1.3741
0.433,12,0.0000,-0.7192,0.0000,-2.4000,0,0,0,1.3784
0.467,13,0.0000,-0.8016,0.0000,-2.4000,0,0,0,1.3803
0.502,14,0.0000,-0.8850,0.0000,-2.4000,0,0,0,1.4297
0.534,15,0.0000,-0.9606,0.0000,-2.4000,0,0,0,1.5708
0.566,16,0.0000,-1.0378,0.0000,-2.4000,0,0,0,1.6833
0.604,17,0.0000,-1.1292,0.0000,-2.4000,0,0,0,1.8530
0.635,18,-0.0035,-1.2035,-1.6971,-1.6971,0,0,0,2.1213
0.671,19,-0.0647,-1.2647,-1.6971,-1.6971,0,0,0,2.2937
0.702,20,-0.1174,-1.3174,-1.6971,-1.6971,0,0,0,2.3903
0.733,21,-0.1694,-1.3694,-1.6971,-1.6971,0,0,0,2.4745
0.768,22,-0.2284,-1.4284,-1.6971,-1.6971,0,0,0,2.5730
0.800,23,-0.2822,-1.4822,-1.6971,-1.6971,0,0,0,2.7465
0.836,24,-0.3440,-1.5440,-1.6971,-1.6971,0,0,0,2.8583
0.868,25,-0.3982,-1.5982,-1.6971,-1.6971,0,0,0,2.9271
0.902,26,-0.4560,-1.6560,-1.6971,-1.6971,0,0,0,2.9591
0.933,27,-0.5092,-1.7092,-1.6971,-1.6971,0,0,0,2.9579
0.968,28,-0.5687,-1.7687,-1.6971,-1.6971,0,0,0,2.9609
1.000,29,-0.6218,-1.8218,-1.6971,-1.6971,0,0,0,2.9580
1.035,30,-0.6812,-1.8812,-1.6971,-1.6971,0,0,0,2.9620
1.066,31,-0.7341,-1.9341,-1.6971,-1.6971,0,0,0,2.9564
1.102,32,-0.7955,-1.9955,-1.6971,-1.6971,0,0,0,2.9367
1.136,33,-0.8531,-2.0531,-1.6971,-1.6971,1,0,0,2.9098
1.176,34,-0.9206,-2.1206,-1.6971,-1.6971,0,0,0,2.9123
1.203,35,-0.9617,-2.1686,0.0000,-2.4000,0,0,0,2.8836
1.235,36,-0.9617,-2.2467,0.0000,-2.4000,0,0,0,2.8271
1.266,37,-0.9617,-2.3205,0.0000,-2.4000,0,0,0,2.7987
1.300,38,-0.9617,-2.4025,0.0000,-2.4000,0,0,0,2.7804
1.333,39,-0.9617,-2.4810,0.0000,-2.4000,0,0,0,2.7547
1.365,40,-0.9617,-2.5569,0.0000,-2.4000,0,0,0,2.6883
1.400,41,-0.9617,-2.6428,0.0000,-2.4000,0,0,0,2.6518
